Address,Latitude,Longitude,Type
"1897 Sandhill Blvd Aberdeen, NC",35.155545,-79.41512,Bojangles
"5296 Hwy 158 Advance, NC",36.004439,-80.439706,Bojangles
"1203 N Academy Street&#39; Ahoskie, NC",36.2987377,-76.98736408,Bojangles
"818 Hwy 24-27 Albemarle, NC",35.346191,-80.167941,Bojangles
"1209 Laura Village Dr. Apex, NC",35.74892097,-78.83684188,Bojangles
"10207 South Main Street Archdale, NC",35.90187192,-79.94898766,Bojangles
"320 Airport Road Arden, NC",35.45077558,-82.52812095,Bojangles
"553 W Dixie Drive Asheboro, NC",35.687341,-79.822449,Bojangles
"974 Patton Ave. Asheville, NC",35.58648053,-82.5896553,Bojangles
"916 West Fort Macon Road Atlantic Beach, NC",34.70124422,-76.75222543,Bojangles
"112 Hwy NC 102 West Ayden, NC",35.47607423,-77.43583962,Bojangles
"6450 W Wilkinson Blvd Belmont, NC",35.2522785,-81.0431812,Bojangles
"12355 NC Hwy 210 Benson, NC",35.51606132,-78.56257528,Bojangles
"426 North Jackson Street Beulaville, NC",34.92755689,-77.77172863,Bojangles
"515 East Main Street Biscoe, NC",35.361035,-79.770124,Bojangles
"211 North Main Street Boiling Springs, NC",35.2549176,-81.6673345,Bojangles
"1064 Blowing Rock Boone, NC",36.204748,-81.668966,Bojangles
"196 Asheville Hwy Brevard, NC",35.24545571,-82.72288666,Bojangles
"65 Veterans Blvd Bryson City, NC",35.42529631,-83.44663918,Bojangles
"831 NC Highway 53 East Burgaw, NC",34.56056227,-77.91764081,Bojangles
"775 Huffman Mill Road Burlington, NC",36.071098,-79.494643,Bojangles
"1400 NC 24/87 Cameron, NC",35.25732878,-79.04013991,Bojangles
"1507 Smokey Park Hwy Candler, NC",35.544701,-82.684638,Bojangles
"734 Champion Drive Canton, NC",35.5541435,-82.85032455,Bojangles
"1045 Monroe St Carthage, NC",35.3421373,-79.3992823,Bojangles
"840 East Chatham Street Cary, NC",35.79096243,-78.7602134,Bojangles
"1194 Cedar Point Blvd. Cedar Point, NC",34.68713174,-77.07182651,Bojangles
"9501 Stafford Road Charlotte, NC",35.28409,-80.667453,Bojangles
"1020 East 1st Street Cherryville, NC",35.38530198,-81.36578545,Bojangles
"725 N US Highway 29 China Grove, NC",35.57074363,-80.57053059,Bojangles
"11900 US Hwy 70 West Clayton, NC",35.65753162,-78.47861677,Bojangles
"1423 Lewisville-Clem Clemmons, NC",36.075088,-80.38919,Bojangles
"1404 Sunset Blvd. Clinton, NC",34.99217778,-78.35090607,Bojangles
"3451 US Highway 601 South Concord, NC",35.370871,-80.548965,Bojangles
"130 Malcolm Blvd. Connelly Springs, NC",35.73649119,-81.52729686,Bojangles
"504 Conover Blvd Conover, NC",35.696245,-81.226102,Bojangles
"20214 W Catawba Ave Cornelius, NC",35.482148,-80.879669,Bojangles
"1567 NC Hwy 56 Creedmoor, NC",36.1438989,-78.7208591,Bojangles
"1017 Dallas Cherryville Hwy Dallas, NC",35.315017,-81.192074,Bojangles
"18073 Hwy 109 Denton, NC",35.630529,-80.108167,Bojangles
"134 South NC 16 Business Denver, NC",35.44553,-80.998302,Bojangles
"402 East Atkins Street Dobson, NC",36.395416,-80.718383,Bojangles
"901 East Cumberland St Dunn, NC",35.302124,-78.60114,Bojangles
"4831 North Carolina Hwy 55 Durham, NC",35.8997888,-78.895839,Bojangles
"631 S Van Buren Road Eden, NC",36.49113896,-79.74036343,Bojangles
"807 West Ehringhaus Rd. Elizabeth City, NC",36.29504456,-76.23176515,Bojangles
"3411 Cooperative Way Farmville, NC",35.61677197,-77.60396719,Bojangles
"914 Berkley Hall Way Fayetteville, NC",35.0967153,-78.971332,Bojangles
"700 Upward Road Flat Rock, NC",35.2976169,-82.4096193,Bojangles
"127 Sparks Crossing Forest City, NC",35.33933014,-81.89899385,Bojangles
"917 Georgia Road Franklin, NC",35.16246812,-83.39222789,Bojangles
"1400 Main St. Fuquay Varina, NC",35.59224252,-78.77332985,Bojangles
"5497 Hwy 42 West Garner, NC",35.60461287,-78.5673362,Bojangles
"507 N New Hope Rd Gastonia, NC",35.271001,-81.14979,Bojangles
"1025 Spence Ave. Goldsboro, NC",35.387265,-77.948112,Bojangles
"804 S Main St Graham, NC",36.057957,-79.399631,Bojangles
"4790 Hickory Blvd Granite Falls, NC",35.778548,-81.39519,Bojangles
"10765 NC 55 Hwy East Grantsboro, NC",35.14069251,-76.84446082,Bojangles
"514 Hickory Ridge Drive Greensboro, NC",36.0730727,-79.9598406,Bojangles
"1632 Farmville Blvd Greenville, NC",35.6085349,-77.39319786,Bojangles
