addressLine,latitude,longitude
5305 Broad Street,34.063026,-78.883564
2639 Freedom Drive,35.238235,-80.884058
1101 N Wendover Rd,35.193561,-80.795044
4601 N Tryon St,35.258512,-80.789054
321 East Woodlawn Road,35.177815,-80.8782
2834 Boyer Street,35.228439,-80.923882
5032 Sunset Rd,35.307776,-80.843212
6424 Albemarle Rd,35.202549,-80.735313
5540 University Pointe Blvd,35.296144,-80.755313
6320 West Sugar Creek Road,35.333808,-80.795742
9010 South Tryon Street,35.135946,-80.938837
9030 Lawyers Road,35.187718,-80.690881
8800 Pineville Matthews Rd,35.089147,-80.868353
6813 E. Wilkinson Boulevard,35.251814,-81.027399
3686 Foothills Way,35.092918,-80.935152
7751 Gateway Lane,35.366919,-80.710265
13900 US Highway 74,35.079767,-80.656889
9615 Charlotte Highway,34.996065,-80.855458
181 Highway 16 S,35.444087,-80.998386
503 N. New Hope Road & I-85,35.270421,-81.149804
20220 West Catawba Avenue,35.482482,-80.87919
258 Concord Parkway  So.,35.400244,-80.608627
1690 Neal Hawkins Road,35.217137,-81.168586
869 North Anderson Road,34.960511,-80.995291
1003 Dallas-Cherryville Highway,35.315354,-81.190472
1667 Ebenezer Road,34.956168,-81.046164
531 S. Cannon Blvd.,35.487015,-80.611118
958 Bethel Street,35.106417,-81.209439
2021 W. Roosevelt Boulevard,35.003465,-80.555292
1343 E. Main Street,34.917211,-80.999809
429 E. Plaza Drive,35.594953,-80.817741
601 E. Liberty,34.987483,-81.225911
409 E. King Street,35.241078,-81.335038
582 521 Bypass Hwy 9,34.729145,-80.759364
3062 Lancaster Highway,34.746862,-81.040462
1006 Mooresville Road,35.662717,-80.501333
1263 Great Falls Highway,34.704181,-80.76749
422 W. Church Street,35.472567,-80.26894
628 E. Innes Street,35.662507,-80.463884
646 Highway 24/27,35.343825,-80.172415
206 S. Van L Mungo Boulevard,34.772438,-80.382268
1607 JA Cochran  Hwy 72 Bypass,34.696031,-81.193504
212 N. Washington St.,34.967624,-80.074887
1230 Yadkinville Road,35.915213,-80.581958
1707 Cotton Grove Road,35.776459,-80.259827
600 S. Main Street,35.819255,-80.259186
542 North Duncan By-Pass,34.728865,-81.63886
182 U.S. Highway 321 By-Pass South,34.368377,-81.100886
2390 Lewisville Clemmons Rd,36.03641,-80.385733
943 Randolph Street,35.868693,-80.073195
